"Qubit","T1 (us)","T2 (us)","Readout assignment error","Prob meas0 prep1","Prob meas1 prep0","Readout length (ns)","ID error","Single-qubit gate length (ns)","RX error","Z-axis rotation (rz) error","√x (sx) error","Pauli-X error","CZ error","Gate length (ns)","RZZ error","MEASURE error","Operational"
"46","146.52076418004017","121.81618524976773","0.041748046875","0.037109375","0.04638671875","1560","0.00036891910267920677","32","0.00036891910267920677","0","0.00036891910267920677","0.00036891910267920677","45:0.002702916490624624;47:0.0025018532002031024;55:0.0017076021944993913","45:68;47:68;55:68","45:0.0030799481419831465;47:0.002869256702035722;55:0.002060555716092649","0.041748046875","Yes"
"47","159.45297227980143","54.461391239389066","0.017578125","0.03369140625","0.00146484375","1560","0.0004136177361216806","32","0.0004136177361216806","0","0.0004136177361216806","0.0004136177361216806","48:0.0020838412938535555;46:0.0025018532002031024","48:68;46:68","48:0.0024395981544249323;46:0.002869256702035722","0.017578125","Yes"
"48","179.91580272170944","235.22976127642661","0.037109375","0.0390625","0.03515625","1560","0.00016250722694245362","32","0.00016250722694245362","0","0.00016250722694245362","0.00016250722694245362","36:0.002176710580796104;47:0.0020838412938535555;49:0.0024506301750360504","36:68;47:68;49:68","36:0.001890619569123897;47:0.0024395981544249323;49:0.002428339909455818","0.037109375","Yes"
"49","163.48396420926477","109.77477883940809","0.0146484375","0.0146484375","0.0146484375","1560","0.00020356304706882247","32","0.00020356304706882247","0","0.00020356304706882247","0.00020356304706882247","48:0.0024506301750360504;50:0.0016191757238290527","48:68;50:68","48:0.002428339909455818;50:0.0017061345646525727","0.0146484375","Yes"
"50","225.01718350408407","203.76668604285635","0.087890625","0.08251953125","0.09326171875","1560","0.00042923701089178515","32","0.00042923701089178515","0","0.00042923701089178515","0.00042923701089178515","56:0.0014488930009890488;49:0.0016191757238290527;51:0.0024104264268669517","56:68;49:68;51:68","56:0.0017526393477587388;49:0.0017061345646525727;51:0.0019427198051777117","0.087890625","Yes"
"51","323.1588698315175","162.61515859425793","0.00537109375","0.00634765625","0.00439453125","1560","0.000240541678707031","32","0.000240541678707031","0","0.000240541678707031","0.000240541678707031","50:0.0024104264268669517;52:0.0016159433539811863","50:68;52:68","50:0.0019427198051777117;52:0.002060263719301819","0.00537109375","Yes"
"52","152.97926755594668","184.09794598509214","0.03125","0.02490234375","0.03759765625","1560","0.0005259687885478394","32","0.0005259687885478394","0","0.0005259687885478394","0.0005259687885478394","51:0.0016159433539811863;37:0.0023975828891439344","51:68;37:104","51:0.002060263719301819;37:0.003770932604127808","0.03125","Yes"
"53","22.368561299607723","62.413003713541706","0.428955078125","0.7890625","0.06884765625","1560","","32","","0","","","","38:68;57:108","","0.428955078125","Yes"
"54","221.22653035342762","75.73475233139021","0.024658203125","0.0146484375","0.03466796875","1560","0.0006368923560043946","32","0.0006368923560043946","0","0.0006368923560043946","0.0006368923560043946","42:0.0023090405380743195;61:0.003295530364237048","42:80;61:152","42:0.0024603591951520842;61:0.0036661793326856207","0.024658203125","Yes"
"55","226.15153020437705","142.24113866349316","0.0068359375","0.0068359375","0.0068359375","1560","0.00017104786053499495","32","0.00017104786053499495","0","0.00017104786053499495","0.00017104786053499495","65:0.0021874947487064422;46:0.0017076021944993913","65:120;46:68","65:0.0022886865588784;46:0.002060555716092649","0.0068359375","Yes"
"56","289.23646584319675","198.91691310584002","0.012939453125","0.01025390625","0.015625","1560","0.00024031631179510993","32","0.00024031631179510993","0","0.00024031631179510993","0.00024031631179510993","50:0.0014488930009890488;69:0.0032849817169787743","50:68;69:160","50:0.0017526393477587388;69:0.003129084231494411","0.012939453125","Yes"
"57","170.3856143861259","183.97738089202426","0.02783203125","0.01123046875","0.04443359375","1560","0.00024292979556413897","32","0.00024292979556413897","0","0.00024292979556413897","0.00024292979556413897","58:0.0020961373475635314","53:108;58:68","58:0.0023908549901007214","0.02783203125","Yes"
"58","153.21469885606686","152.7234975264409","0.01806640625","0.02099609375","0.01513671875","1560","0.00047451014751007526","32","0.00047451014751007526","0","0.00047451014751007526","0.00047451014751007526","57:0.0020961373475635314;59:0.0069259019992466975","57:68;59:68","57:0.0023908549901007214;59:0.009890598437302972","0.01806640625","Yes"
"59","120.70823968085145","111.65458581732985","0.046142578125","0.05419921875","0.0380859375","1560","0.000320958162615225","32","0.000320958162615225","0","0.000320958162615225","0.000320958162615225","72:0.005948757072774452;58:0.0069259019992466975;60:0.00643303484176963","72:68;58:68;60:68","72:0.009252613252806047;58:0.009890598437302972;60:0.00845169814899191","0.046142578125","Yes"
"60","175.73037576562476","215.4360599229072","0.01025390625","0.00830078125","0.01220703125","1560","0.000196353409071861","32","0.000196353409071861","0","0.000196353409071861","0.000196353409071861","61:0.001608233959548927;59:0.00643303484176963","61:68;59:68","61:0.0015540998869505163;59:0.00845169814899191","0.01025390625","Yes"
"61","126.0133713590941","132.01952398562474","0.012939453125","0.00927734375","0.0166015625","1560","0.0002723121209644499","32","0.0002723121209644499","0","0.0002723121209644499","0.0002723121209644499","60:0.001608233959548927;62:0.0017853309711008958;54:0.003295530364237048","60:68;62:68;54:152","60:0.0015540998869505163;62:0.0023780538644264937;54:0.0036661793326856207","0.012939453125","Yes"
"62","114.286575266676","112.71103321820475","0.01123046875","0.015625","0.0068359375","1560","0.0003421331332535095","32","0.0003421331332535095","0","0.0003421331332535095","0.0003421331332535095","61:0.0017853309711008958;63:0.0038924467699647247","61:68;63:164","61:0.0023780538644264937;63:0.003839454065315384","0.01123046875","Yes"
"63","249.999289243899","150.30612780996273","0.0439453125","0.0498046875","0.0380859375","1560","0.0005158048850416047","32","0.0005158048850416047","0","0.0005158048850416047","0.0005158048850416047","62:0.0038924467699647247;64:0.0023208469115880703;73:0.0026890676092405363","62:164;64:68;73:88","62:0.003839454065315384;64:0.0020235377783004715;73:0.00276594028080826","0.0439453125","Yes"
"64","190.94330672801206","139.962752849403","0.06298828125","0.0478515625","0.078125","1560","0.00021873301449806045","32","0.00021873301449806045","0","0.00021873301449806045","0.00021873301449806045","65:0.0017071211182097534;63:0.0023208469115880703","65:68;63:68","65:0.0020294156998990898;63:0.0020235377783004715","0.06298828125","Yes"
"65","159.74164914453496","184.35721685527832","0.010986328125","0.015625","0.00634765625","1560","0.00023738631452340685","32","0.00023738631452340685","0","0.00023738631452340685","0.00023738631452340685","55:0.0021874947487064422;64:0.0017071211182097534;66:0.0041977150336541535","55:120;64:68;66:68","55:0.0022886865588784;64:0.0020294156998990898;66:0.005906450822639159","0.010986328125","Yes"
