"Qubit","T1 (us)","T2 (us)","Readout assignment error","Prob meas0 prep1","Prob meas1 prep0","Readout length (ns)","ID error","Single-qubit gate length (ns)","RX error","Z-axis rotation (rz) error","√x (sx) error","Pauli-X error","CZ error","Gate length (ns)","RZZ error","MEASURE error","Operational"
"31","237.0576297659717","271.5465859264762","0.07470703125","0.060546875","0.0888671875","1560","0.00023243266005112167","32","0.00023243266005112167","0","0.00023243266005112167","0.00023243266005112167","30:0.0032464011826272843;32:0.004099316373750939;18:0.002814858573353979","30:68;32:68;18:68","30:0.0030350973302768203;32:0.004607331530505854;18:0.0030047048675822807","0.07470703125","Yes"
"32","200.09293632048545","148.77151060133684","0.0244140625","0.03955078125","0.00927734375","1560","0.0005559124996658017","32","0.0005559124996658017","0","0.0005559124996658017","0.0005559124996658017","31:0.004099316373750939;33:0.002137121068242792","31:68;33:68","31:0.004607331530505854;33:0.0018760807908592692","0.0244140625","Yes"
"33","196.15028689704576","56.051353414315656","0.043701171875","0.02978515625","0.0576171875","1560","0.0003434933537276662","32","0.0003434933537276662","0","0.0003434933537276662","0.0003434933537276662","37:0.00226945969289441;32:0.002137121068242792","37:88;32:68","37:0.002155235353405144;32:0.0018760807908592692","0.043701171875","Yes"
"34","101.51911437011559","76.18019826838925","0.035888671875","0.03173828125","0.0400390625","1560","0.00024402456920307974","32","0.00024402456920307974","0","0.00024402456920307974","0.00024402456920307974","21:0.002205147644534722;40:0.0022495633226995992","21:68;40:96","21:0.0028081544004220915;40:0.002143259846745904","0.035888671875","Yes"
"35","181.07391257895807","87.93574646147998","0.013671875","0.0107421875","0.0166015625","1560","0.00024713419901539665","32","0.00024713419901539665","0","0.00024713419901539665","0.00024713419901539665","25:0.0033646308565577487","44:108;25:108","25:0.002473221705190737","0.013671875","Yes"
"36","88.12584499327178","118.79222909198313","0.007568359375","0.01220703125","0.0029296875","1560","0.0006599636038993411","32","0.0006599636038993411","0","0.0006599636038993411","0.0006599636038993411","48:0.002176710580796104;29:0.00246621172626732","48:68;29:68","48:0.001890619569123897;29:0.0028671280563927204","0.007568359375","Yes"
"37","119.82024708301323","88.0734785978396","0.00244140625","0.00390625","0.0009765625","1560","0.0003433565801291539","32","0.0003433565801291539","0","0.0003433565801291539","0.0003433565801291539","33:0.00226945969289441;52:0.0023975828891439344","33:88;52:104","33:0.002155235353405144;52:0.003770932604127808","0.00244140625","Yes"
"38","198.14744034183582","188.80335378428447","0.06787109375","0.06005859375","0.07568359375","1560","0.00035132464593947213","32","0.00035132464593947213","0","0.00035132464593947213","0.00035132464593947213","39:0.0019126729721073432","53:68;39:68","39:0.0020394948388034184","0.06787109375","Yes"
"39","152.20768977606977","146.11425661286106","0.031982421875","0.0234375","0.04052734375","1560","0.00024465755212311585","32","0.00024465755212311585","0","0.00024465755212311585","0.00024465755212311585","38:0.0019126729721073432;40:0.001682136767690634","38:68;40:68","38:0.0020394948388034184;40:0.0018321345415018842","0.031982421875","Yes"
"40","242.95406201123683","263.17612456010494","0.023681640625","0.017578125","0.02978515625","1560","0.00009592442951327218","32","0.00009592442951327218","0","0.00009592442951327218","0.00009592442951327218","41:0.12173444026948455;34:0.0022495633226995992;39:0.001682136767690634","41:68;34:96;39:68","41:0.13106058598630685;34:0.002143259846745904;39:0.0018321345415018842","0.023681640625","Yes"
"41","20.33763135467569","58.25057965828797","0.099609375","0.16748046875","0.03173828125","1560","0.046068818368630006","32","0.046068818368630006","0","0.046068818368630006","0.046068818368630006","40:0.12173444026948455;42:0.08349545949177313","40:68;42:68","40:0.13106058598630685;42:0.08501912027669115","0.099609375","Yes"
"42","275.3931108443282","200.03121569117388","0.164306640625","0.177734375","0.15087890625","1560","0.000398999227579664","32","0.000398999227579664","0","0.000398999227579664","0.000398999227579664","41:0.08349545949177313;43:0.0018788320006564996;54:0.0023090405380743195","41:68;43:68;54:80","41:0.08501912027669115;43:0.00195524915807882;54:0.0024603591951520842","0.164306640625","Yes"
"43","79.68952025165943","66.28854919250166","0.01220703125","0.01416015625","0.01025390625","1560","0.00030057275717421757","32","0.00030057275717421757","0","0.00030057275717421757","0.00030057275717421757","42:0.0018788320006564996;44:0.0018498511390936945","42:68;44:68","42:0.00195524915807882;44:0.003010130581770548","0.01220703125","Yes"
"44","214.69751156537706","100.15393656292008","0.03173828125","0.02783203125","0.03564453125","1560","0.00017280912470852585","32","0.00017280912470852585","0","0.00017280912470852585","0.00017280912470852585","45:0.0020206640580900104;43:0.0018498511390936945","45:68;35:108;43:68","45:0.006885584587634025;43:0.003010130581770548","0.03173828125","Yes"
"45","48.81635267653713","61.39249518080514","0.0087890625","0.0126953125","0.0048828125","1560","0.000343773697555757","32","0.000343773697555757","0","0.000343773697555757","0.000343773697555757","44:0.0020206640580900104;46:0.002702916490624624","44:68;46:68","44:0.006885584587634025;46:0.0030799481419831465","0.0087890625","Yes"
